Server,Component Type,Component Name,Description,en-US
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Button1.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Button3.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Button4.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Button5.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Button6.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.Acknowledge.Tooltip,Acknowledge the selected alarm.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.AcknowledgeWithComment.Tooltip,Acknowledge the selected alarm with a comment.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.AudibleSoundDisabled.Tooltip,Audible sound for the bell is disabled.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.AudibleSoundEnabled.Tooltip,Audible sound for the bell is enabled.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.RunAlarmAndEventSummary.Tooltip,Run alarm and event summary command.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.RunAlarmCommand.Tooltip,Run the alarm command associated with the selected alarm.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.Shelve.Tooltip,Shelve selected alarm for specified time.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarButton.SilenceAllAlarms.Tooltip,Silence all the alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.AlarmFault.Tooltip,Number of faults for all alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.EventActive.Tooltip,Number of Active Events.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.IgnoreUnknownMessage.Tooltip,Ignore unknown alarm messages
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.InAlarmAndAcknowledged.Tooltip,Number of In Alarm and Acknowledged alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.InAlarmAndUnacknowledged.Tooltip,Number of In Alarm and Unacknowleged alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.NormalAndUnacknowledged.Tooltip,Number of Normal and Unacknowledged alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.ServerStatusConnected.Tooltip,Connected
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,FactoryTalkAlarmandEventBanner1.StatusbarPanel.ServerStatusDisconnected.Tooltip,Disconnected
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,GotoDisplayButton1.Up.Caption,Alarms
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,GotoDisplayButton2.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,GotoDisplayButton3.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.10.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.11.St_Caption,
