Server,Component Type,Component Name,Description,en-US
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.0.St_Caption,/*N:1 {::[P01]local:1:I.Data.0} NOFILL DP:0*/   local:1:I.Data.0  I1/0
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.1.St_Caption,/*N:1 {::[P01]local:1:I.Data.1} NOFILL DP:0*/   local:1:I.Data.1  I1/1
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.2.St_Caption,/*N:1 {::[P01]local:1:I.Data.2} NOFILL DP:0*/   local:1:I.Data.2  I1/2
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.3.St_Caption,/*N:1 {::[P01]local:1:I.Data.3} NOFILL DP:0*/   local:1:I.Data.3  I1/3
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.4.St_Caption,/*N:1 {::[P01]local:1:I.Data.4} NOFILL DP:0*/   local:1:I.Data.4  I1/4
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.5.St_Caption,/*N:1 {::[P01]local:1:I.Data.5} NOFILL DP:0*/   local:1:I.Data.5  I1/5
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.6.St_Caption,/*N:1 {::[P01]local:1:I.Data.6} NOFILL DP:0*/   local:1:I.Data.6  I1/6
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.7.St_Caption,/*N:1 {::[P01]local:1:I.Data.7} NOFILL DP:0*/   local:1:I.Data.7  I1/7
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.8.St_Caption,/*N:1 {::[P01]local:1:I.Data.8} NOFILL DP:0*/   local:1:I.Data.8  I1/8
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.9.St_Caption,/*N:1 {::[P01]local:1:I.Data.9} NOFILL DP:0*/   local:1:I.Data.9  I1/9
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.10.St_Caption,/*N:1 {::[P01]local:1:I.Data.10} NOFILL DP:0*/   local:1:I.Data.10  I1/10
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.11.St_Caption,/*N:1 {::[P01]local:1:I.Data.11} NOFILL DP:0*/   local:1:I.Data.11  I1/11
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.12.St_Caption,/*N:1 {::[P01]local:1:I.Data.12} NOFILL DP:0*/   local:1:I.Data.12  I1/12
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.13.St_Caption,/*N:1 {::[P01]local:1:I.Data.13} NOFILL DP:0*/   local:1:I.Data.13  I1/13
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.14.St_Caption,/*N:1 {::[P01]local:1:I.Data.14} NOFILL DP:0*/   local:1:I.Data.14  I1/14
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.15.St_Caption,/*N:1 {::[P01]local:1:I.Data.15} NOFILL DP:0*/   local:1:I.Data.15  I1/15
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.16.St_Caption,/*N:1 {::[P01]local:1:I.Data.16} NOFILL DP:0*/   local:1:I.Data.16  I1/16
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.17.St_Caption,/*N:1 {::[P01]local:1:I.Data.17} NOFILL DP:0*/   local:1:I.Data.17  I1/17
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.18.St_Caption,/*N:1 {::[P01]local:1:I.Data.18} NOFILL DP:0*/   local:1:I.Data.18  I1/18
